"Airbnbid","host_id","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"2539","2787","Brooklyn","Kensington","40.64749","-73.97237","Private room","149","1","9","2018-10-19","0.21","6","365"
"2595","2845","Manhattan","Midtown","40.75362","-73.98377","Entire home/apt","225","1","45","2019-05-21","0.38","2","355"
"3647","4632","Manhattan","Harlem","40.80902","-73.9419","Private room","150","3","0","","null","1","365"
"3831","4869","Brooklyn","Clinton Hill","40.68514","-73.95976","Entire home/apt","89","1","270","2019-07-05","4.64","1","194"
"5099","7322","Manhattan","Murray Hill","40.74767","-73.975","Entire home/apt","200","3","74","2019-06-22","0.59","1","129"
"5178","8967","Manhattan","Hell's Kitchen","40.76489","-73.98493","Private room","79","2","430","2019-06-24","3.47","1","220"
"5238","7549","Manhattan","Chinatown","40.71344","-73.99037","Entire home/apt","150","1","160","2019-06-09","1.33","4","188"
"5295","7702","Manhattan","Upper West Side","40.80316","-73.96545","Entire home/apt","135","5","53","2019-06-22","0.43","1","6"
"5441","7989","Manhattan","Hell's Kitchen","40.76076","-73.98867","Private room","85","2","188","2019-06-23","1.5","1","39"
"5803","9744","Brooklyn","South Slope","40.66829","-73.98779","Private room","89","4","167","2019-06-24","1.34","3","314"
"6021","11528","Manhattan","Upper West Side","40.79826","-73.96113","Private room","85","2","113","2019-07-05","0.91","1","333"
"6848","15991","Brooklyn","Williamsburg","40.70837","-73.95352","Entire home/apt","140","2","148","2019-06-29","1.2","1","46"
"7097","17571","Brooklyn","Fort Greene","40.69169","-73.97185","Entire home/apt","215","2","198","2019-06-28","1.72","1","321"
"7322","18946","Manhattan","Chelsea","40.74192","-73.99501","Private room","140","1","260","2019-07-01","2.12","1","12"
"7726","20950","Brooklyn","Crown Heights","40.67592","-73.94694","Entire home/apt","99","3","53","2019-06-22","4.44","1","21"
"7750","17985","Manhattan","East Harlem","40.79685","-73.94872","Entire home/apt","190","7","0","","null","2","249"
